,myear,fuel,km,owner,transmission,brand,model,variant,price,city
1509,2015,Petrol,"26,776 Kms",2nd Owner,Automatic,2015 Hyundai Grand i10,2015 Hyundai Grand i10,AT Asta,"5,15,500",Bangalore
1510,2013,Diesel,"107,408 Kms",1st Owner,Manual,2013 Maruti Swift,2013 Maruti Swift,VDI BSIV,"4,10,000",Bangalore
1511,2015,Diesel,"76,888 Kms",2nd Owner,Manual,2016 Nissan Terrano,2016 Nissan Terrano,XV 110 PS,"6,90,000",Bangalore
1512,2016,Petrol,"37,997 Kms",2nd Owner,Manual,2016 Maruti Swift,2016 Maruti Swift,VXI Optional,"5,71,000",Bangalore
1513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bangalore
1514,2018,Petrol,"12,297 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,Climber 1.0 AMT BSIV,"4,78,000",Bangalore
1515,2015,Petrol,"17,042 Kms",1st Owner,Automatic,2015 Maruti Celerio,2015 Maruti Celerio,VXI AT,"4,40,000",Bangalore
1516,2015,Petrol,"42,358 Kms",2nd Owner,KA01,2015 Maruti Alto 800,2015 Maruti Alto 800,LXI,"2,90,500",Bangalore
1517,2016,Petrol,"26,884 Kms",2nd Owner,Automatic,2016 Maruti Celerio,2016 Maruti Celerio,VXI AMT BSIV,"4,53,500",Bangalore
1518,2014,Petrol,"30,607 Kms",1st Owner,Manual,2015 Hyundai Grand i10,2015 Hyundai Grand i10,Sportz,"4,78,500",Bangalore
1519,2018,Petrol,"17,873 Kms",1st Owner,Manual,2018 Renault KWID,2018 Renault KWID,1.0 RXT 02 Anniversary Edition,"3,80,000",Bangalore
1520,2017,Petrol,"30,393 Kms",1st Owner,Manual,2017 Maruti Wagon R,2017 Maruti Wagon R,VXI Plus Optional,"4,67,000",Bangalore
1521,2016,Petrol,"32,850 Kms",1st Owner,Manual,2016 Renault KWID,2016 Renault KWID,RXT,"3,62,000",Bangalore
1522,2017,Petrol,"40,231 Kms",1st Owner,Manual,2017 Maruti Swift,2017 Maruti Swift,VXI,"5,55,000",Bangalore
1523,2018,Petrol,"25,676 Kms",1st Owner,Manual,2018 Maruti Wagon R,2018 Maruti Wagon R,VXI,"4,85,500",Bangalore
1524,2017,Petrol,"20,605 Kms",1st Owner,Manual,2018 Maruti Celerio,2018 Maruti Celerio,ZXI MT BSIV,"4,96,500",Bangalore
